,company,title,href
45,Deutsche Bahn,Business Analyst:in / Data Migration Manager:in SAP S/4HANA,https://de.linkedin.com/jobs/view/business-analyst-in-data-migration-manager-in-sap-s-4hana-at-deutsche-bahn-3763982475?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=RpxcGnyGBoXoNyhoQedmMQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
46,CBTW,Business Analyst (M/W/D),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3776197620?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=EgpiM55FWef1rIJmYu1mBA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
47,IBM,Business Analysts P&C (f/m/x),https://de.linkedin.com/jobs/view/business-analysts-p-c-f-m-x-at-ibm-3697723136?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=cCpe7iPchLW6xBDRkDUSdQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
48,Verivox GmbH,Business Analyst Value Added Services (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-value-added-services-m-w-d-at-verivox-gmbh-3773669435?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=1bUt7IK53HAPq49HWQLBeQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,Drechsel & Hansen Unternehmensnachfolge GmbH,Business Analyst Praktikant (PE),https://de.linkedin.com/jobs/view/business-analyst-praktikant-pe-at-drechsel-hansen-unternehmensnachfolge-gmbh-3779980848?refId=DGACJi5yv2ox2m%2BmU%2Fk5zw%3D%3D&trackingId=MBwV%2FSuxnxZmL9tVI9V%2BmA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,]init[ - Services for the eSociety,Business Analyst (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3773535328?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=Fv5%2B22MRD%2B3TJRvYE9wq1w%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
51,Yara International,Digital Business Analyst - Industrial Traceability,https://de.linkedin.com/jobs/view/digital-business-analyst-industrial-traceability-at-yara-international-3779056389?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=LlF%2B5GsxZ5x%2FcbDuMcxCug%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
52,CBTW,Business Analyst (M/W/D),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3773346570?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=FtKq5cMLgsxreRVQwwtszA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
53,InterEx Group,D365 F&O Business Analyst (SCM),https://de.linkedin.com/jobs/view/d365-f-o-business-analyst-scm-at-interex-group-3759044911?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=oyoeFtoEfxxE9ZYG4o5Jjg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
54,Stealth iT Recruitment,Business Analyst - Insurance,https://de.linkedin.com/jobs/view/business-analyst-insurance-at-stealth-it-recruitment-3773510140?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=YKfUC%2FSZSfg3j0tjx8S1hA%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
55,CBTW,Business Analyst (M/W/D),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3775724877?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=k5sJ%2Bcqgrq%2Bio0Jcwz%2FjPw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
56,Airbus,Business Analyst & Application Architect (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-application-architect-m-w-d-at-airbus-3728336998?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=RTBQKZN4%2BTBiuQ6q38%2BDBg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
57,Deloitte,Business Analyst / Consultant Strategieberatung - Monitor Deloitte (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-consultant-strategieberatung-monitor-deloitte-m-w-d-at-deloitte-3365805053?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=5tyFwAPL8fB6jNV9dxz9lQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
58,home24 SE,Performance Marketing Manager SEA (m/w/d),https://de.linkedin.com/jobs/view/performance-marketing-manager-sea-m-w-d-at-home24-se-3655539781?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=p0NOLdxKyPk3Fx8dykfRBA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
59,EY,Berater Technology Business Analysis - Technology Transformation (w/m/d),https://de.linkedin.com/jobs/view/berater-technology-business-analysis-technology-transformation-w-m-d-at-ey-3706663482?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=El7%2F%2FQ5lyRCJa8Sjt6rnSg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
60,Babbel,(Senior) Tech Marketing Manager (all genders),https://de.linkedin.com/jobs/view/senior-tech-marketing-manager-all-genders-at-babbel-3772600192?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=AvOjQssqKGAPuAvZ5ExO%2Bw%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
61,Uni-assist e.V.,Business Analyst (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-uni-assist-e-v-3769463917?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=JScnXsmQLGX8fIXCVTI7NA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
62,Verivox GmbH,Business Analyst Insurance (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-insurance-m-w-d-at-verivox-gmbh-3773667653?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=5Bl74HAM7zIDppyxQUB20g%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
63,Freiberger Lebensmittel GmbH,Business Analyst Workflow Utility for Operational Planning (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-workflow-utility-for-operational-planning-m-w-d-at-freiberger-lebensmittel-gmbh-3735702336?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=oHbL%2BfI3Rw%2BtUTVxOf6dPg%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
64,publicplan GmbH,Business Analyst (m/w/d) - 100% remote,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-100%25-remote-at-publicplan-gmbh-3776905232?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=nq42hNYb2P0YyV%2Bec5jlgg%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
65,Deloitte,Business Analyst / Consultant Cloud Integration (m/w/d),https://de.linkedin.com/jobs/view/business-analyst-consultant-cloud-integration-m-w-d-at-deloitte-3628998054?refId=UITn9cWXX4JupkHbObcTrA%3D%3D&trackingId=XQdC3L8kQk5KdhDpUB%2Bz%2Fw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
